DegreesGraduate,DegreesLifelong,DegreesLocalDegrees,DegreesMaster,DegreesVocational,Age,Experience,Gender,InteractionMediaAnalytics,InteractionMediaConnectivity,InteractionMediaFamiliarity,InteractionMediaHiddenPhone,InteractionMediaHorizontality,InteractionMediaOfficialFormation,InteractionMediaPluggability,InteractionMediaSustainability,InteractionMediaUnidirecionality,"Interaction officiality",Other,"Interaction Synchrony (or not)","¿Imparte docencia en enseñanza post-secundaria (Universidad, ciclos formativos, bachillerato, otra enseñanza pública o privada)?",Discipline
Yes,No,No,No,No,25-35,"0-5 años",Mujer,Yes,Yes,Yes,Yes,No,No,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Ciencias
Yes,No,No,No,No,25-35,"0-5 años",Hombre,No,No,No,Yes,No,No,Yes,No,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,35-45,"5-15 años",Hombre,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Ciencias
Yes,No,No,No,No,25-35,"0-5 años",Hombre,Yes,No,Yes,Yes,Yes,No,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,No,No,25-35,"0-5 años",Hombre,Yes,No,No,No,No,Yes,No,No,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.",Sí,Tecnología/Ingeniería
Yes,No,No,No,No,45-55,"15-25 años",Mujer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,"Ciencias Sociales"
Yes,No,No,No,No,45-55,"5-15 años",Mujer,No,No,Yes,Yes,No,Yes,No,No,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,"Ciencias Sociales"
No,No,Yes,No,Yes,45-55,"15-25 años",Hombre,No,No,No,No,No,Yes,No,No,No,"Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,"Ciencias Sociales"
Yes,No,No,No,No,25-35,"0-5 años",Mujer,No,No,Yes,Yes,Yes,No,No,No,Yes,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Humanidades
Yes,No,No,Yes,No,35-45,"5-15 años",Hombre,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,"Ciencias Sociales"
Yes,No,No,No,No,25-35,"5-15 años",Hombre,Yes,No,No,No,Yes,Yes,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,25-35,"0-5 años",Mujer,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Biosanitaria
Yes,No,No,Yes,No,35-45,"5-15 años",Hombre,No,No,Yes,No,Yes,No,No,Yes,No,"Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Biosanitaria
Yes,No,No,No,No,25-35,"0-5 años",Mujer,No,Yes,No,Yes,No,Yes,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.",Sí,Ciencias
Yes,No,No,No,No,25-35,"0-5 años","Prefiero no decirlo",No,No,No,No,No,Yes,No,No,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,No,No,25-35,"0-5 años",Hombre,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,"Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
No,No,Yes,No,Yes,35-45,"0-5 años",Mujer,No,No,Yes,No,Yes,Yes,Yes,Yes,No,"Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios",No,"Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.",Sí,"Ciencias Sociales"
Yes,Yes,No,Yes,No,45-55,"más de 25 años",Hombre,Yes,Yes,Yes,No,No,No,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Humanidades
Yes,Yes,Yes,Yes,No,45-55,"5-15 años",Mujer,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Biosanitaria
Yes,No,No,Yes,No,45-55,"15-25 años",Hombre,No,No,Yes,Yes,Yes,No,No,No,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,35-45,"5-15 años",Hombre,No,No,No,Yes,No,Yes,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,"Ciencias Sociales"
Yes,No,No,Yes,No,25-35,"0-5 años",Mujer,Yes,Yes,No,Yes,Yes,No,No,No,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",No,"Ciencias Sociales"
Yes,No,No,No,No,45-55,"15-25 años",Mujer,Yes,Yes,No,Yes,No,Yes,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.",Sí,"Ciencias Sociales"
Yes,No,No,No,No,25-35,"0-5 años",Mujer,Yes,Yes,No,Yes,No,No,Yes,Yes,No,"Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Ciencias
Yes,No,Yes,Yes,No,45-55,"15-25 años",Hombre,No,Yes,Yes,No,Yes,No,Yes,Yes,No,"Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,35-45,"0-5 años",Hombre,Yes,No,Yes,No,Yes,No,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,"Ciencias Sociales"
Yes,No,No,Yes,No,"Más de 55","más de 25 años",Hombre,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,35-45,"5-15 años",Mujer,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,"Ciencias Sociales"
No,No,No,No,Yes,45-55,"15-25 años",Hombre,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,No,No,35-45,"0-5 años","Prefiero no decirlo",No,Yes,Yes,No,Yes,No,No,Yes,Yes,"Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,"Ciencias Sociales"
Yes,No,No,No,No,25-35,"0-5 años","Prefiero no decirlo",No,Yes,Yes,No,No,No,No,No,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,No,No,25-35,"0-5 años",Mujer,Yes,Yes,No,Yes,No,No,Yes,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,25-35,"0-5 años",Mujer,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios",No,"Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.",Sí,Ciencias
Yes,No,No,No,No,25-35,"0-5 años",Mujer,Yes,Yes,No,No,Yes,No,Yes,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.",Sí,"Ciencias Sociales"
Yes,No,No,No,No,25-35,"0-5 años",Hombre,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,"Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Humanidades
No,No,No,No,Yes,45-55,"15-25 años",Hombre,Yes,No,No,No,Yes,Yes,Yes,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,"Ciencias Sociales"
Yes,No,No,Yes,No,45-55,"15-25 años",Hombre,No,No,Yes,Yes,No,No,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,35-45,"0-5 años","Prefiero no decirlo",Yes,No,Yes,Yes,No,No,No,Yes,Yes,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,"Más de 55","más de 25 años",Hombre,Yes,No,Yes,No,Yes,No,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,45-55,"15-25 años",Hombre,Yes,No,Yes,No,No,No,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,45-55,"15-25 años",Hombre,Yes,No,No,No,Yes,No,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,25-35,"5-15 años",Hombre,No,Yes,No,Yes,Yes,No,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,45-55,"15-25 años",Hombre,No,Yes,Yes,No,Yes,No,No,No,No,"Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios",No,"Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,"Más de 55","más de 25 años",Hombre,No,No,Yes,No,No,No,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,35-45,"5-15 años",Hombre,Yes,Yes,No,No,Yes,No,No,No,Yes,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,35-45,"5-15 años",Hombre,Yes,Yes,Yes,No,Yes,No,No,Yes,No,"Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,45-55,"15-25 años",Hombre,No,No,Yes,No,Yes,No,No,No,No,"Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,Yes,Yes,No,35-45,"15-25 años","Prefiero no decirlo",No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,"Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios",No,"Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,35-45,"5-15 años",Hombre,No,No,Yes,Yes,Yes,No,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,"Más de 55","más de 25 años",Hombre,No,Yes,Yes,No,Yes,No,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,45-55,"15-25 años","Prefiero no decirlo",No,No,No,Yes,No,No,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
No,No,No,Yes,Yes,45-55,"15-25 años",Hombre,No,Yes,No,Yes,Yes,No,Yes,Yes,No,"Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios",No,"Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,"Más de 55","más de 25 años","Prefiero no decirlo",Yes,Yes,Yes,No,Yes,No,No,Yes,No,"Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios",No,"Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,35-45,"15-25 años",Hombre,No,No,Yes,No,Yes,No,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,No,No,25-35,"0-5 años",Hombre,No,No,No,No,No,No,No,No,No,"Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios",Yes,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,45-55,"15-25 años",Mujer,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,"Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios",No,"Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.",Sí,Tecnología/Ingeniería
Yes,No,No,No,No,25-35,"0-5 años",Hombre,Yes,Yes,No,Yes,No,No,No,Yes,Yes,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,45-55,"15-25 años","Prefiero no decirlo",No,No,No,Yes,Yes,No,No,No,No,"Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,No,No,25-35,"0-5 años",Mujer,No,Yes,No,Yes,Yes,Yes,Yes,No,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.",Sí,Tecnología/Ingeniería
Yes,No,No,No,No,35-45,"5-15 años",Hombre,Yes,Yes,No,No,Yes,No,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,35-45,"5-15 años",Hombre,No,No,No,No,Yes,No,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,45-55,"15-25 años",Hombre,No,Yes,No,No,No,No,Yes,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,35-45,"0-5 años",Mujer,Yes,Yes,No,No,Yes,No,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Ciencias
Yes,No,No,No,No,35-45,"5-15 años",Hombre,Yes,No,Yes,No,No,No,Yes,Yes,No,"Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,45-55,"más de 25 años",Hombre,No,Yes,No,Yes,Yes,No,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,No,No,"Más de 55","más de 25 años",Mujer,No,Yes,Yes,Yes,Yes,No,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,45-55,"más de 25 años",Hombre,No,No,Yes,No,No,No,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,45-55,"más de 25 años","Prefiero no decirlo",Yes,No,Yes,Yes,No,No,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,No,No,"Más de 55","más de 25 años",Hombre,Yes,Yes,No,No,Yes,No,Yes,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
No,No,No,Yes,Yes,35-45,"5-15 años",Hombre,Yes,No,No,Yes,No,No,Yes,Yes,No,"Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios",No,"Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.",Sí,No
Yes,No,No,Yes,No,35-45,"5-15 años",Hombre,Yes,Yes,No,No,Yes,No,No,No,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,35-45,"5-15 años",Mujer,Yes,Yes,No,Yes,Yes,No,No,No,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
Yes,No,No,Yes,No,35-45,"15-25 años","Prefiero no decirlo",No,Yes,No,Yes,No,No,No,Yes,No,"Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""",No,"Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.",Sí,Tecnología/Ingeniería
